months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,policy_limit,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,auto_make,auto_model,auto_year,weather_condition,previous_claims,avg_past_claim_amount,max_past_claim_amount,tenure_days,vehicle_age,seasonal_factor,time_factor,weather_factor,total_claim_amount,frequency
103,72,PN00000000,2022-03-04,CA,500,3645.196820803684,500000,0,63399,Male,PhD,Sales,Married,27471.66530761741,37388.13336440595,2020-06-27,Natural Disaster,Rear-end,Totaled,15,3,3,3,False,Honda,Coupe,2017,Clear,0,0.0,0.0,0,3,1.0,1.0,1.0,17813.45390164794,2
52,69,PN00000001,2016-04-01,FL,1000,2331.5730575277194,100000,500000,33421,Female,High School,Sales,Divorced,13746.495125324022,37001.07647452633,2019-12-29,Theft,Head-on,Major,1,4,0,0,False,Honda,Truck,2017,Fog,0,0.0,0.0,1367,2,1.1,1.2,1.2,16104.49476255972,0
93,61,PN00000002,2015-04-13,FL,250,763.3928267391951,250000,500000,92828,Male,Master,Teacher,Widowed,2915.9016342504397,42516.143311373125,2021-05-02,Natural Disaster,Side-swipe,Totaled,8,3,4,2,True,Ford,SUV,2007,Clear,1,4845.5934970954095,4845.5934970954095,2211,14,1.05,1.1,1.0,13077.801597844671,0
15,73,PN00000003,2023-04-26,NY,1000,3673.0051760090473,100000,100000,98519,Female,PhD,Clerical,Single,80347.42084750484,10117.286620886007,2023-06-23,Theft,Parked Car,Major,7,2,2,0,False,BMW,SUV,2019,Clear,2,10307.41082289155,14238.312693614635,58,4,1.0,1.1,1.0,16293.719751299504,0
107,72,PN00000004,2018-01-31,CA,250,2764.392474582424,250000,100000,81502,Female,PhD,Manager,Married,19696.921824266366,11157.397944147795,2022-10-06,Vandalism,Head-on,Minor,1,2,4,1,True,BMW,Convertible,2011,Clear,2,10554.03339132949,14027.664020315975,1709,11,1.05,1.2,1.0,10571.530501910484,3
72,87,PN00000005,2017-09-30,TX,2000,550.8890900604524,250000,500000,70581,Male,PhD,Clerical,Divorced,36346.435013385395,28833.561892790294,2020-07-14,Vandalism,Side-swipe,Minor,1,1,3,0,True,Chevrolet,Coupe,2005,Clear,1,15685.732996502697,15685.732996502697,1018,15,1.0,1.2,1.0,3554.390719145158,1
61,83,PN00000006,2017-07-03,FL,250,3256.951528527679,100000,250000,21629,Female,High School,Engineer,Single,76885.49307596983,7780.965949188606,2021-06-07,Theft,Parked Car,Totaled,4,2,2,3,True,Honda,Sedan,2017,Snow,0,0.0,0.0,1435,4,1.0,1.2,1.5,16318.015357852331,0
21,36,PN00000007,2016-07-25,NY,2000,4639.464601379539,100000,250000,14534,Female,PhD,Manager,Single,45018.193521728375,14816.890196510352,2021-09-25,Natural Disaster,Parked Car,Minor,0,4,0,3,True,Honda,Coupe,2006,Fog,1,2793.241946302957,2793.241946302957,1888,15,1.05,1.2,1.2,3244.2641784726375,0
103,24,PN00000008,2023-04-05,FL,500,999.6167669526004,250000,250000,32624,Female,High School,Engineer,Divorced,21754.89188061279,40621.534311186995,2019-02-16,Theft,Side-swipe,Totaled,3,1,4,1,True,Honda,Truck,2015,Snow,0,0.0,0.0,0,4,1.1,1.2,1.5,13512.553910129414,1
83,80,PN00000009,2016-02-24,IL,500,3158.02055754126,500000,500000,96409,Male,Bachelor,Clerical,Married,19476.2402988229,16710.610975672214,2017-08-26,Collision,Head-on,Totaled,15,3,3,1,False,Toyota,SUV,2021,Clear,0,0.0,0.0,549,-4,1.0,1.0,1.0,23024.861209740386,0
